Stimulus,Choice1,Choice2,Choice3,Choice4,Choice5,Choice6,Choice7,Choice8,Corr
../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix1.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix1Choice1.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix1Choice2.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix1Choice3.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix1Choice4.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix1Choice5.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix1Choice6.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix1Choice7.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix1Choice8.bmp,2
../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix2.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix2Choice1.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix2Choice2.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix2Choice3.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix2Choice4.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix2Choice5.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix2Choice6.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix2Choice7.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix2Choice8.bmp,5
../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix3.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix3Choice1.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix3Choice2.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix3Choice3.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix3Choice4.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix3Choice5.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix3Choice6.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix3Choice7.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix3Choice8.bmp,7
../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix4.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix4Choice1.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix4Choice2.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix4Choice3.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix4Choice4.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix4Choice5.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix4Choice6.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix4Choice7.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix4Choice8.bmp,2
../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix5.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix5Choice1.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix5Choice2.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix5Choice3.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix5Choice4.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix5Choice5.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix5Choice6.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix5Choice7.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix5Choice8.bmp,3
../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix6.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix6Choice1.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix6Choice2.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix6Choice3.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix6Choice4.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix6Choice5.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix6Choice6.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix6Choice7.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix6Choice8.bmp,2
../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix7.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix7Choice1.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix7Choice2.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix7Choice3.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix7Choice4.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix7Choice5.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix7Choice6.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix7Choice7.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix7Choice8.bmp,5
../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix8.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix8Choice1.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix8Choice2.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix8Choice3.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix8Choice4.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix8Choice5.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix8Choice6.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix8Choice7.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix8Choice8.bmp,2
../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix9.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix9Choice1.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix9Choice2.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix9Choice3.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix9Choice4.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix9Choice5.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix9Choice6.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix9Choice7.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix9Choice8.bmp,2
../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix10.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix10Choice1.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix10Choice2.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix10Choice3.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix10Choice4.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix10Choice5.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix10Choice6.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix10Choice7.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix10Choice8.bmp,5
